adult,movie_id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,lang,company_name,movie_country,release_year
False,929204,en,404.894,191452,79,Released,Wallace & Gromit: Vengeance Most Fowl,7.682,294,Animation,English,Aardman,GB,2024
False,1034541,en,403.815,89771811,125,Released,Terrifier 3,6.88,1416,Horror,English,Cineverse,US,2024
False,157336,en,384.105,701729206,169,Released,Interstellar,8.449,36277,Adventure,English,Legendary Pictures,US,2014
False,698687,en,361.138,128888103,104,Released,Transformers One,8.099,1043,Animation,English,Paramount Animation,US,2024
False,259872,nl,359.021,0,60,Released,Skin. Like. Sun.,6.5,31,Romance,No Language,Blue Artichoke Films,NL,2010
False,507241,en,354.908,5928351,104,Released,The Killer's Game,6.5,252,Action,English,STXfilms,US,2024
False,1241752,tl,351.177,0,113,Released,Rita,6.2,8,Drama,Tagalog,Vivamax,PH,2024
False,1179051,pt,348.625,0,86,Released,Undercover Party Crasher,6.188,8,Comedy,Portuguese,Glaz Entretenimento,BR,2025
False,710295,en,345.581,27661000,103,Released,Wolf Man,6.5,93,Horror,English,Universal Pictures,US,2025
False,1182387,en,342.4,0,89,Released,Armor,5.462,145,Action,English,Convergence Entertainment,US,2024
False,1051896,en,339.488,859453,92,Released,Arcadian,6.125,573,Action,English,Highland Film Group,US,2024
False,978796,en,332.353,0,92,Released,Bagman,6.2,183,Horror,English,Lionsgate,US,2024
False,573435,en,329.509,404547819,115,Released,Bad Boys: Ride or Die,7.402,2672,Action,English,Westbrook,US,2024
False,1000075,fr,327.656,0,100,Released,The Price of Money: A Largo Winch Adventure,6.5,136,Action,French,Pan-Européenne,BE,2024
False,1013850,en,325.776,9814110,90,Released,A Real Pain,6.9,293,Comedy,English,Fruit Tree,US,2024
False,1208491,fr,320.563,0,85,Released,Zak & Wowo: The Legend of Lendarys,7.0,3,Animation,French,2 Minutes,CA,2024
False,974576,en,311.354,76443243,120,Released,Conclave,7.038,989,Drama,English,FilmNation Entertainment,US,2024
False,454626,en,307.023,319715683,99,Released,Sonic the Hedgehog,7.3,9704,Action,English,Original Film,US,2020
False,926670,en,306.162,0,86,Released,Henry Danger: The Movie,8.732,84,Action,English,Awesomeness Films,US,2025
False,1100856,ru,299.754,0,90,Released,Whisper of the Witch,6.2,26,Horror,Russian,KD Studios,RU,2024
False,823464,en,299.654,571750016,115,Released,Godzilla x Kong: The New Empire,7.121,4009,Action,English,Legendary Pictures,US,2024
False,385687,en,284.917,704709660,142,Released,Fast X,7.063,5730,Action,English,Universal Pictures,US,2023
False,1196470,fr,284.588,0,90,Released,Survive,5.897,116,Science Fiction,English,M.E.S. Productions,FR,2024
False,1176128,en,284.463,0,76,Released,Santa Isn't Real,6.667,9,Horror,English,Rotting Press,US,2023
False,1088514,es,284.372,16416711,107,Released,The Room Next Door,7.0,295,Drama,English,El Deseo,ES,2024
False,604685,en,283.989,40364092,144,Released,Den of Thieves 2: Pantera,6.3,56,Action,English,Diamond Film Productions,US,2025
False,1167271,en,279.51,2826064,101,Released,Weekend in Taipei,6.2,124,Action,Mandarin,EuropaCorp,TW,2024
