adult,backdrop_path,belongs_to_collection,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count
False,/42sE1uzoUt5w49numc5Oee7e18N.jpg,Beautiful Disaster Collection,0,,1096342,tt26546123,en,Beautiful Wedding,"Abby and Travis wake after a crazy night in Vegas as accidental newlyweds! With the mob on their heels, they flee to Mexico for a wild, weird honeymoon—but are they in for another disaster?",68.362,/6214Uk9CZZcIibI84o5DEtbhfyk.jpg,2024-01-24,1781246,95,Released,Disaster strikes... again.,Beautiful Wedding,False,5.6,241
False,/4mcOCiR06dqQ5eoEJcG3zvonjOa.jpg,The Maze Runner Collection,61000000,https://www.20thcenturystudios.com/movies/maze-runner-the-scorch-trials,294254,tt4046784,en,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",68.361,/mYw7ZyejqSCPFlrT2jHZOESZDU3.jpg,2015-09-09,312296056,131,Released,The Maze Was Just the Beginning.,Maze Runner: The Scorch Trials,False,6.7,10431
False,/8YNNyQiPZlF9qv5EGOUK20mnXVk.jpg,Divergent Collection,110000000,http://www.thedivergentseries.movie/#insurgent,262500,tt2908446,en,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,68.312,/dP5Fb6YRfzmCQtRbHOr2kO7tJW9.jpg,2015-03-18,297002527,119,Released,Defy reality.,Insurgent,False,6.361,10020
False,/9Y9wTgrMk4G1YNPDDekNk7dybwx.jpg,False,0,,1152624,tt21158192,en,3 Days in Malay,"Marines stationed at an airfield in Malay during WWII get wind of a coming raid by the Japanese. Unable to get reinforcements approved, they engage in a harrowing 3-day battle against enemy forces.",68.23,/hqnfqeCILvgKGWKOut5lVdxdeJh.jpg,2023-08-11,0,99,Released,,3 Days in Malay,False,4.8,30
False,/gSkO9BqdiDR2ltRrsub7AVL75Tq.jpg,False,3000000,https://a24films.com/films/the-whale,785084,tt13833688,en,The Whale,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,68.127,/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg,2022-12-09,55101305,117,Released,,The Whale,False,7.8,3983
False,/jncviKGvFlxdeh6vYWe9g4LmG3j.jpg,Wrong Turn Collection,3000000,,23823,tt1261978,en,Wrong Turn 3: Left for Dead,"A group of people find themselves trapped in the backwoods of West Virginia, fighting for their lives against a group of vicious and horribly disfigured inbred cannibals.",68.045,/e8KtlAif5YSMFLWAtG9nM97WYnT.jpg,2009-10-08,0,91,Released,What you don't see will kill you.,Wrong Turn 3: Left for Dead,False,5.7,1164
False,/q9HocL5f8WwPldwpvmpk8ZaNZkC.jpg,False,5000000,http://www.upgrade.movie,500664,tt6499752,en,Upgrade,"A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life.",68.019,/cF8fsHKGfqdlm7kdmG2Dub4E2rg.jpg,2018-05-31,16706680,100,Released,Not man. Not machine. More.,Upgrade,False,7.5,4427
False,/bXtkVDYcwyg9II0cHk6zhtzZGc3.jpg,False,7000000,,338676,tt3467412,en,Extinction,"And suddenly, overnight, the world came to a halt. Two men, two survivors, one kid, and hatred that separates them. A place forgotten by everyone, including the creatures that inhabit the Earth... until now.",67.966,/zwIDreu9pYCqKpv4jomqVM9yX1e.jpg,2015-08-07,2350695,110,Released,"When the undead can evolve, no one is safe.",Extinction,False,6.219,680
False,,False,0,,1153291,tt28437538,es,Llamada privada,"A mysterious phone call will change the life of the writer Valentino Lombardi and his family. He will be violently harassed by a psychopath who will play the bloodiest and most macabre horror story with him. But that's not all, for years he has studied it and will take revenge by torturing anyone who meddles. They must fight to survive and face such an atrocity. Who is it? And what do you want?",67.945,/tUjSG0q3NghJ1UT9KzDUq3EyjJk.jpg,2023-07-11,0,79,Released,,Private call,False,9.1,8
False,/h8TPPusskiVqwiQGEiUP7f0z8v6.jpg,False,0,,1388808,tt28637027,en,Into the Deep,"Divers searching for sunken treasure witness the murder of drug dealers by modern-day pirates, but a killer great white is determined not to let any of them escape its waters.",67.894,/l5lvdM6ABMZWElv7pZuACqTrBZS.jpg,2025-01-23,0,90,Released,Under water no one can hear you scream.,Into the Deep,False,5.375,12
