movie_id,company_name,country
395817,MiLu Entertainment,
395817,The Exchange,US
1410082,Destination Films,US
1410082,Blue Ice Pictures,CA
1410082,Blue Ice Africa,
1397854,HT Film,IT
1397854,Indigo Film,IT
1299652,Warner Bros. Animation,US
1299652,DC Entertainment,US
1299652,Paramount Pictures,US
1097549,A24,US
1097549,2AM,US
1097549,Man Up Film,NL
1011985,DreamWorks Animation,US
1164355,MNC Pictures,ID
1164355,Tiger Wong Entertainment,ID
1164355,Prime Eagle Studios (ID),
829557,Ekipa,PL
829557,Open Mind Production,PL
1202565,Stan Productions,AR
1100099,Film4 Productions,GB
1100099,SunnyMarch,GB
1100099,Shoebox Films,GB
1100099,StudioCanal,GB
1267217,Andreevskaya 5,RU
1267217,Nashe Kino,RU
1108427,Walt Disney Pictures,US
1108427,Seven Bucks Productions,US
1108427,Flynn Picture Company,US
791042,Farpoint Films,CA
791042,Middle Child Films Inc.,CA
549509,Brookstreet Pictures,GB
549509,Kaplan Morrison,US
549509,Intake Films,GB
549509,Andrew Lauren Productions,US
549509,Lipsync Productions,GB
549509,Richmond Pictures,GB
549509,Meyohas Studio,US
549509,Carte Blanche,US
549509,Pierce Capital Entertainment,US
1155095,Nuclear Tangerine,
426889,Mel Hoppenheim School of Cinema,CA
957452,Davis Films,FR
957452,Pressman Film,US
957452,Hassell Free Productions,US
957452,The Electric Shadow Company,GB
957452,30WEST,US
957452,Ashland Hill Media Finance,US
957452,FilmNation Entertainment,US
957452,Maze Pictures,DE
957452,Occupant Entertainment,DE
1171640,Inoxy Films,FR
1171640,Versus Production,BE
1357459,Vivamax,PH
637649,Miramax,US
637649,Toff Guy Films,GB
637649,Flic Films,GB
324568,Studio Signal Club,
11845,ARTE France Cinéma,FR
11845,Téléma Productions,
11845,StudioCanal,FR
11845,France 2 Cinéma,FR
11845,WDR,DE
11845,Mikado Film,IT
11845,Canal+,FR
11845,Bac Films,FR
11845,Greenpoint Films,GB
11845,Azor Films,FR
693134,Legendary Pictures,US
592983,Skydance Media,US
592983,Skydance Animation,US
592983,Skydance Animation,ES
748783,Alcon Entertainment,US
748783,DNEG,GB
748783,Wayfarer Studios,US
748783,One Cool Group,HK
748783,Stage 6 Films,US
